FID,WARDS,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
1,1,202113610.333,71876.5139716,37570278.8515625,30986.3039231004
2,10,71275132.3173,48862.3471538,13217149.1796875,21044.5902827672
3,11,131880434.701,80367.8860773,24422487.546875,34585.5188840029
4,12,163559120.525,73543.9039022,30304377.9960938,31667.1471230137
5,13,169985075.131,59320.3764315,31492128.1015625,25550.8018053096
6,2,128263944.318,57048.2699967,23805176.96875,24579.2887831365
7,3,119501071.003,60416.8764563,22202442.7773438,26043.6100998037
8,4,128116546.622,54833.1093643,23830258.8710938,23655.4934833783
9,5,110618257.145,53776.5381647,20546901.625,23181.3000167669
10,6,50265404.9427,34353.1895641,9325411.07421875,14790.1925966778
11,7,155289034.446,72031.9522847,28821573.2578125,31023.8753985147
12,8,83831358.0112,48319.0255269,15538386.5976563,20805.8810540156
13,9,86698213.4232,46261.1845867,16077621.7929688,19919.2178052789
